NIM,Nama,Umur,IPK,Jumlah_Saudara,Asal,Status
1,Mahasiswa_1,21,3.45,2,Jakarta,Aktif
2,Mahasiswa_2,19,2.89,1,Surabaya,Aktif
3,Mahasiswa_3,22,3.78,0,Bandung,Aktif
4,Mahasiswa_4,20,3.12,3,Medan,Aktif
5,Mahasiswa_5,23,3.91,1,Semarang,Aktif
6,Mahasiswa_6,18,2.76,2,Jakarta,Cuti
7,Mahasiswa_7,,3.34,4,Surabaya,Aktif
8,Mahasiswa_8,24,3.67,0,Bandung,Lulus
9,Mahasiswa_9,19,2.98,1,Medan,Aktif
10,Mahasiswa_10,22,3.55,2,Semarang,Aktif
11,Mahasiswa_11,20,3.01,3,Jakarta,Aktif
12,Mahasiswa_12,21,,0,Surabaya,Aktif
13,Mahasiswa_13,18,2.65,1,Bandung,Aktif
14,Mahasiswa_14,23,3.42,2,Medan,Aktif
15,Mahasiswa_15,,2.87,4,Semarang,Cuti
16,Mahasiswa_16,22,3.73,1,Jakarta,Aktif
17,Mahasiswa_17,20,3.18,0,,Aktif
18,Mahasiswa_18,21,3.94,2,Bandung,Aktif
19,Mahasiswa_19,18,2.72,3,Medan,Aktif
20,Mahasiswa_20,24,3.86,1,Semarang,Aktif
21,Mahasiswa_21,19,3.08,0,Jakarta,Aktif
22,Mahasiswa_22,22,3.51,2,Surabaya,Aktif
23,Mahasiswa_23,20,2.93,4,Bandung,Aktif
24,Mahasiswa_24,21,3.76,1,Medan,Aktif
25,Mahasiswa_25,18,2.68,3,Semarang,Aktif
26,Mahasiswa_26,23,3.44,0,,Aktif
27,Mahasiswa_27,19,,2,Surabaya,Cuti
28,Mahasiswa_28,22,3.79,1,Bandung,Aktif
29,Mahasiswa_29,20,3.15,4,Medan,Aktif
30,Mahasiswa_30,21,3.62,0,Semarang,Aktif
31,Mahasiswa_31,,2.74,1,Jakarta,Aktif
32,Mahasiswa_32,24,3.88,2,Surabaya,Aktif
33,Mahasiswa_33,19,2.91,3,Bandung,Aktif
34,Mahasiswa_34,22,3.47,0,Medan,Aktif
35,Mahasiswa_35,20,3.04,1,Semarang,Aktif
36,Mahasiswa_36,21,3.71,2,Jakarta,Aktif
37,Mahasiswa_37,18,2.78,4,Surabaya,Aktif
38,Mahasiswa_38,23,3.85,0,Bandung,Aktif
39,Mahasiswa_39,19,2.96,1,Medan,Cuti
40,Mahasiswa_40,22,3.59,2,Semarang,Aktif
41,Mahasiswa_41,20,3.09,3,Jakarta,Aktif
42,Mahasiswa_42,21,3.82,0,Surabaya,Aktif
43,Mahasiswa_43,18,2.66,1,Bandung,Aktif
44,Mahasiswa_44,24,3.75,2,Medan,Aktif
45,Mahasiswa_45,19,2.84,4,Semarang,Aktif
46,Mahasiswa_46,22,3.48,0,Jakarta,Aktif
47,Mahasiswa_47,20,3.02,1,Surabaya,Aktif
48,Mahasiswa_48,21,3.69,2,Bandung,Aktif
49,Mahasiswa_49,18,2.70,3,Medan,Aktif
50,Mahasiswa_50,23,3.92,0,Semarang,Aktif
51,Mahasiswa_51,19,2.89,1,Jakarta,Aktif
52,Mahasiswa_52,22,3.54,2,Surabaya,Aktif
53,Mahasiswa_53,20,2.95,4,Bandung,Aktif
54,Mahasiswa_54,21,3.77,0,Medan,Aktif
55,Mahasiswa_55,18,2.67,3,Semarang,Aktif
56,Mahasiswa_56,24,3.83,1,Jakarta,Aktif
57,Mahasiswa_57,19,2.88,2,Surabaya,Cuti
58,Mahasiswa_58,22,3.46,0,Bandung,Aktif
59,Mahasiswa_59,20,3.11,4,Medan,Aktif
60,Mahasiswa_60,21,3.68,1,Semarang,Aktif
61,Mahasiswa_61,18,2.73,0,Jakarta,Aktif
62,Mahasiswa_62,23,3.90,2,Surabaya,Aktif
63,Mahasiswa_63,19,2.92,3,Bandung,Aktif
64,Mahasiswa_64,22,3.56,0,Medan,Aktif
65,Mahasiswa_65,20,3.05,1,Semarang,Aktif
66,Mahasiswa_66,21,3.74,2,Jakarta,Aktif
67,Mahasiswa_67,18,2.69,4,Surabaya,Aktif
68,Mahasiswa_68,24,3.81,0,Bandung,Aktif
69,Mahasiswa_69,19,2.94,1,Medan,Aktif
70,Mahasiswa_70,22,3.53,2,Semarang,Aktif
71,Mahasiswa_71,20,3.07,3,Jakarta,Aktif
72,Mahasiswa_72,21,3.87,0,Surabaya,Aktif
73,Mahasiswa_73,18,2.71,1,Bandung,Aktif
74,Mahasiswa_74,23,3.65,2,Medan,Aktif
75,Mahasiswa_75,19,2.86,4,Semarang,Cuti
76,Mahasiswa_76,22,3.49,0,Jakarta,Aktif
77,Mahasiswa_77,20,3.03,1,Surabaya,Aktif
78,Mahasiswa_78,21,3.72,2,Bandung,Aktif
79,Mahasiswa_79,18,2.75,3,Medan,Aktif
80,Mahasiswa_80,24,3.95,0,Semarang,Aktif
81,Mahasiswa_81,19,2.97,1,Jakarta,Aktif
82,Mahasiswa_82,22,3.58,2,Surabaya,Aktif
83,Mahasiswa_83,20,2.90,4,Bandung,Aktif
84,Mahasiswa_84,21,3.80,0,Medan,Aktif
85,Mahasiswa_85,18,2.64,3,Semarang,Aktif
86,Mahasiswa_86,23,3.45,1,Jakarta,Aktif
87,Mahasiswa_87,19,2.83,2,Surabaya,Aktif
88,Mahasiswa_88,22,3.78,0,Bandung,Aktif
89,Mahasiswa_89,20,3.14,4,Medan,Aktif
90,Mahasiswa_90,21,3.67,1,Semarang,Aktif
91,Mahasiswa_91,18,2.72,0,Jakarta,Aktif
92,Mahasiswa_92,24,3.84,2,Surabaya,Aktif
93,Mahasiswa_93,19,2.99,3,Bandung,Aktif
94,Mahasiswa_94,22,3.52,0,Medan,Aktif
95,Mahasiswa_95,20,3.06,1,Semarang,Aktif
96,Mahasiswa_96,21,3.70,2,Jakarta,Aktif
97,Mahasiswa_97,18,2.77,4,Surabaya,Aktif
98,Mahasiswa_98,23,3.93,0,Bandung,Aktif
99,Mahasiswa_99,19,2.82,1,Medan,Aktif
100,Mahasiswa_100,22,3.60,2,Semarang,Aktif
